UID,id,instructorId,termId,schoolCode,number,section,type,name,instructorName
41277-4112-87,41277,4112,87,CS,5003,08,Recitation/Discussion,Recitation for CS 5001,Elena Strange
41278-4112-87,41278,4112,87,CS,5003,09,Recitation/Discussion,Recitation for CS 5001,Elena Strange
38514-2969-87,38514,2969,87,CS,5010,01,Lecture,Programming Design Paradigm,Clark Freifeld
39379-2749-87,39379,2749,87,CS,5010,02,Lecture,Programming Design Paradigm,Amit Shesh
39195-2749-87,39195,2749,87,CS,5010,03,Lecture,Programming Design Paradigm,Amit Shesh
41015-4042-87,41015,4042,87,CS,5010,04,Lecture,Programming Design Paradigm,Aditya Rathi
41015-3296-87,41015,3296,87,CS,5010,04,Lecture,Programming Design Paradigm,Adrienne Slaughter
41015-3987-87,41015,3987,87,CS,5010,04,Lecture,Programming Design Paradigm,Anthony Mullen
41015-4080-87,41015,4080,87,CS,5010,04,Lecture,Programming Design Paradigm,Chang Liu
41015-2738-87,41015,2738,87,CS,5010,04,Lecture,Programming Design Paradigm,Ian Gorton
41015-4220-87,41015,4220,87,CS,5010,04,Lecture,Programming Design Paradigm,Luying Min
41015-4273-87,41015,4273,87,CS,5010,04,Lecture,Programming Design Paradigm,Prakriti Dave
41015-4280-87,41015,4280,87,CS,5010,04,Lecture,Programming Design Paradigm,Rathi Sowumya Thirunavukkarasu
41015-2906-87,41015,2906,87,CS,5010,04,Lecture,Programming Design Paradigm,Tamara Bonaci
41015-4352-87,41015,4352,87,CS,5010,04,Lecture,Programming Design Paradigm,Yiyang Zhang
41015-4354-87,41015,4354,87,CS,5010,04,Lecture,Programming Design Paradigm,Yunfeng Yue
41182-3691-87,41182,3691,87,CS,5010,05,Lecture,Programming Design Paradigm,Edward Katz
38321-2749-87,38321,2749,87,CS,5011,01,Recitation/Discussion,Recitation For CS 5010,Amit Shesh
38388-2749-87,38388,2749,87,CS,5011,02,Recitation/Discussion,Recitation For CS 5010,Amit Shesh
38402-2749-87,38402,2749,87,CS,5011,03,Recitation/Discussion,Recitation For CS 5010,Amit Shesh
38273-2749-87,38273,2749,87,CS,5011,04,Recitation/Discussion,Recitation For CS 5010,Amit Shesh
41016-3296-87,41016,3296,87,CS,5011,05,Recitation/Discussion,Recitation For CS 5010,Adrienne Slaughter
41017-2906-87,41017,2906,87,CS,5011,06,Recitation/Discussion,Recitation For CS 5010,Tamara Bonaci
41018-3987-87,41018,3987,87,CS,5011,07,Recitation/Discussion,Recitation For CS 5010,Anthony Mullen
41019-2738-87,41019,2738,87,CS,5011,08,Recitation/Discussion,Recitation For CS 5010,Ian Gorton
41183-3691-87,41183,3691,87,CS,5011,09,Recitation/Discussion,Recitation For CS 5010,Edward Katz
38766-3129-87,38766,3129,87,CS,5100,01,Lecture,Fndtns Artificial Intellegence,Christopher Amato
41194-4217-87,41194,4217,87,CS,5100,02,Lecture,Fndtns Artificial Intellegence,Lok Sang Wong
41184-4195-87,41184,4195,87,CS,5150,01,Lecture,Game Artificial Intelligence,Kanaka Saripalli
38371-1679-87,38371,1679,87,CS,5200,01,Lecture,Database Management Sys,Jose Annunziato
39380-1679-87,39380,1679,87,CS,5200,02,Lecture,Database Management Sys,Jose Annunziato
41020-2386-87,41020,2386,87,CS,5200,03,Lecture,Database Management Sys,Bruce Chhay
41020-4105-87,41020,4105,87,CS,5200,03,Lecture,Database Management Sys,Divya Agarwal
41020-4132-87,41020,4132,87,CS,5200,03,Lecture,Database Management Sys,Feiyue Wu
41020-4272-87,41020,4272,87,CS,5200,03,Lecture,Database Management Sys,Prachi Sharma
41179-3424-87,41179,3424,87,CS,5200,04,Lecture,Database Management Sys,Sara Arunagiri
41185-3373-87,41185,3373,87,CS,5200,05,Lecture,Database Management Sys,Philip Gust
40336-3666-87,40336,3666,87,CS,5310,01,Lecture,Computer Graphics,Michael Shah
41021-3987-87,41021,3987,87,CS,5310,02,Lecture,Computer Graphics,Anthony Mullen
39581-2348-87,39581,2348,87,CS,5340,01,Lecture,Computer/Human Interaction,David Sprague
41178-4185-87,41178,4185,87,CS,5340,02,Lecture,Computer/Human Interaction,Jorge Toro
38280-737-87,38280,737,87,CS,5400,01,Lecture,Principles of Programming Lang,Eliyahu Barzilay
38700-2099-87,38700,2099,87,CS,5500,01,Lecture,Managing Software Development,Michael Weintraub
39643-2099-87,39643,2099,87,CS,5500,02,Lecture,Managing Software Development,Michael Weintraub
41022-4179-87,41022,4179,87,CS,5500,03,Lecture,Managing Software Development,Jingtian Huang
41022-2693-87,41022,2693,87,CS,5500,03,Lecture,Managing Software Development,John Ewart
41022-3976-87,41022,3976,87,CS,5500,03,Lecture,Managing Software Development,Robert Munro
41186-3691-87,41186,3691,87,CS,5500,04,Lecture,Managing Software Development,Edward Katz
41023-3296-87,41023,3296,87,CS,5520,01,Lecture,Mobile Application Development,Adrienne Slaughter
38372-2113-87,38372,2113,87,CS,5600,01,Lecture,Computer Systems,Kapil Arya
39224-1069-87,39224,1069,87,CS,5600,02,Lecture,Computer Systems,Peter Desnoyers
41024-2290-87,41024,2290,87,CS,5600,03,Lecture,Computer Systems,Vinayak Rao
39095-1679-87,39095,1679,87,CS,5610,01,Lecture,Web Development,Jose Annunziato
38370-3904-87,38370,3904,87,CS,5700,01,Lecture,Fundamentals - Computer Netwkg,Aanjhan Ranganathan
41025-1803-87,41025,1803,87,CS,5700,02,Lecture,Fundamentals - Computer Netwkg,Zhifeng Sun
38746-1248-87,38746,1248,87,CS,5770,01,Lecture,Software Vulnerabilities,William Robertson
38373-593-87,38373,593,87,CS,5800,01,Lecture,Algorithms,Rajmohan Rajaraman
40985-4289-87,40985,4289,87,CS,5800,02,Lecture,Algorithms,Rukmini Vijaykumar
41026-3090-87,41026,3090,87,CS,5800,03,Lecture,Algorithms,Hosung Song
41187-4057-87,41187,4057,87,CS,5800,04,Lecture,Algorithms,Anurag Bhardwaj
41187-4282-87,41187,4282,87,CS,5800,04,Lecture,Algorithms,Ricardo Baeza-Yates
41238-3885-87,41238,3885,87,CS,5800,05,Lecture,Algorithms,Tiffani Williams
39904-2299-87,39904,2299,87,CS,6120,01,Lecture,Natural Language Processing,Lu Wang
38585-3192-87,38585,3192,87,CS,6140,01,Lecture,Machine Learning,Ehsan Elhamifar
40444-4276-87,40444,4276,87,CS,6140,02,Lecture,Machine Learning,Qi Yu
41188-3984-87,41188,3984,87,CS,6140,03,Lecture,Machine Learning,Abraham Bagherjeiran
41210-4090-87,41210,4090,87,CS,6140,04,Lecture,Machine Learning,Craig Martell
41210-4318-87,41210,4318,87,CS,6140,04,Lecture,Machine Learning,Sizhe Wen
38940-2310-87,38940,2310,87,CS,6200,01,Lecture,Information Retrieval,Nada Naji
41027-4256-87,41027,4256,87,CS,6200,02,Lecture,Information Retrieval,Mrinal Sourav
41027-3628-87,41027,3628,87,CS,6200,02,Lecture,Information Retrieval,Raman Chandrasekar
41027-4351-87,41027,4351,87,CS,6200,02,Lecture,Information Retrieval,Yingbin Liang
41247-4289-87,41247,4289,87,CS,6200,03,Lecture,Information Retrieval,Rukmini Vijaykumar
39094-3326-87,39094,3326,87,CS,6220,01,Lecture,Data Mining Techniques,Tina Eliassi-Rad
41180-3424-87,41180,3424,87,CS,6220,02,Lecture,Data Mining Techniques,Sara Arunagiri
38735-296-87,38735,296,87,CS,6240,01,Lecture,Parallel Data Processing,Mirek Riedewald
39328-296-87,39328,296,87,CS,6240,02,Lecture,Parallel Data Processing,Mirek Riedewald
40930-1125-87,40930,1125,87,CS,6410,01,Lecture,Compilers,Olin Shivers III
41029-2738-87,41029,2738,87,CS,6650,01,Lecture,Scalable Distributed Systems,Ian Gorton
41029-4205-87,41029,4205,87,CS,6650,01,Lecture,Scalable Distributed Systems,Kinshuk Juneja
41029-4274-87,41029,4274,87,CS,6650,01,Lecture,Scalable Distributed Systems,Priyank Chaudhary
38699-709-87,38699,709,87,CS,6740,01,Lecture,Network Security,Guevara Noubir
41030-2477-87,41030,2477,87,CS,6949,01,Seminar,Grad Co-op Seminar,Francisco Mesch
41265-2473-87,41265,2473,87,CS,6949,02,Seminar,Grad Co-op Seminar,Kathleen Vander Laan
41266-2473-87,41266,2473,87,CS,6949,03,Seminar,Grad Co-op Seminar,Kathleen Vander Laan
41267-3905-87,41267,3905,87,CS,6949,04,Seminar,Grad Co-op Seminar,Ethan Selinger
41268-3905-87,41268,3905,87,CS,6949,05,Seminar,Grad Co-op Seminar,Ethan Selinger
41269-2475-87,41269,2475,87,CS,6949,06,Seminar,Grad Co-op Seminar,Smajl Cengic
41270-2475-87,41270,2475,87,CS,6949,07,Seminar,Grad Co-op Seminar,Smajl Cengic
41271-2475-87,41271,2475,87,CS,6949,08,Seminar,Grad Co-op Seminar,Smajl Cengic
41272-2475-87,41272,2475,87,CS,6949,09,Seminar,Grad Co-op Seminar,Smajl Cengic
41273-3905-87,41273,3905,87,CS,6949,10,Seminar,Grad Co-op Seminar,Ethan Selinger
39742-1525-87,39742,1525,87,CS,7180,01,Lecture,Spec Top - Artif Intelligence,Robert Platt
41028-3091-87,41028,3091,87,CS,7180,03,Lecture,Spec Top - Artif Intelligence,Everaldo Aguiar
41031-1766-87,41031,1766,87,CS,7340,01,Lecture,Theory and Methods in HCI,Magy Seif El-Nasr
