Prof,Lecture Effective,Workload,Personality,Overall,Challenge,Learning Value
Brianne McDonough,4.279823717948718,4.0,4.477255707255708,4.518675213675214,3.466068376068376,3.7928632478632474
Bruce Chhay,4.34998840445269,12.0,4.03392044463473,4.419635126777984,4.0962513676799395,4.180762434844067
Byron Wallace,4.634934535573122,12.0,4.3669141831026845,4.74698051948052,4.717405018227387,4.589581479597008
Chang Liu,4.141666666666667,20.0,4.177777777777778,4.2,4.2176470588235295,4.151155462184874
Christopher Amato,3.679448388550823,15.6,3.8726664496948473,3.6847695295464065,4.1493869484133175,3.73075402365753
Christopher Wilson,4.763412776810984,15.333333333333334,4.3718283475494335,4.877818944834179,4.6848801125641595,4.64552928812129
Claire Wassinger,4.408095376845377,4.0,4.407277907277906,4.641608391608392,3.5168997668997672,4.116494616494617
Clark Freifeld,4.087975400074026,17.25,4.016778217494402,4.0936774035654615,4.325866629627405,4.12638060763094
Cody Scott,3.8571428571428577,13.333333333333334,4.038156288156289,3.6111111111111107,3.6269841269841265,3.456916099773243
Craig Martell,5.0,12.0,5.0,5.0,5.0,5.0
Cristina Nita-Rotaru,4.496498948462958,14.666666666666666,4.221054064900815,4.580882352941177,4.605139371006245,4.51054813206516
Daniel Feinberg,3.7159226190476193,18.0,3.7261904761904763,3.55,3.9803571428571427,3.9503401360544217
Daniel Wichs,4.668234551396316,14.0,4.156457926604985,4.700947712418301,4.56078431372549,4.572329916815211
David Choffnes,4.567464139880155,17.333333333333332,3.9548062748605397,4.612650480364607,4.518986585368091,4.513510618029662
David Gray,3.3413461538461537,16.0,3.3461538461538463,2.9423076923076925,3.769230769230769,3.5549450549450547
David Reis,3.0723214285714286,16.0,2.4017857142857144,2.9375,3.803571428571429,3.0969387755102042
David Smith,3.801395624125804,13.555555555555555,3.455421052879773,3.659204793028322,3.953362428634167,3.728219843053603
David Sprague,4.282292406484514,11.2,4.121359856241079,4.3651697258191735,4.2260855700055675,4.226414015133511
David Zheng,3.9955718954248365,16.0,3.9595588235294117,4.0476190476190474,3.885416666666667,4.147152194211018
Dawn Shirak,4.173195843508343,4.0,4.2364392551892545,4.26875,3.274338624338624,3.8824619163904877
Derek Brodeur,4.058193289720003,11.333333333333334,3.7575280723045257,4.196515752765753,4.030504449254449,3.933383184565466
Divya Agarwal,3.600446428571429,12.0,3.5277777777777772,3.2638888888888893,3.5303030303030303,3.8367346938775513
Donald Hall,4.240989974937343,16.0,4.273015873015873,4.340579710144928,3.9541666666666666,4.234013605442177
Edward Katz,3.854198647660819,17.333333333333332,4.105482456140351,3.941374269005848,4.217741402116403,4.005905388471178
Ehsan Elhamifar,4.3465299547196095,17.2,3.9156509978536462,4.259557396626361,4.4430458527534995,4.252767648334151
Elena Strange,4.7311626502089865,16.0,4.801536376698015,4.773092998955068,4.571780995237614,4.646514405135095
Eliyahu Barzilay,4.282158899472754,11.571428571428571,3.9132832838666194,4.458308718224132,4.50156213182529,4.293055031451316
Elton Booker,3.8641360146725563,13.0,3.8629830153477,3.951039553752535,3.7939147066872723,3.7878745640220193
Emanuele Viola,3.6075835573917416,13.666666666666666,3.2994773707953713,3.4392439668174966,4.0678136895783945,3.744601551032916
Engin Kirda,4.7017379531388155,13.333333333333334,4.18678774928775,4.857264957264957,4.691452991452992,4.689879739617371
Erez Kantor,3.2665047915047913,13.333333333333334,2.93936079352746,3.0676323676323674,3.9703185703185704,3.598204969633541
Everaldo Aguiar,4.480413105413105,12.0,4.35261158594492,4.515384615384615,4.333597883597883,4.413685388685388
Ezra Cooper,3.785714285714286,20.0,3.198412698412698,3.5476190476190474,3.738095238095238,3.8231292517006805
Feiyue Wu,3.667906746031746,12.0,3.5888888888888886,3.466666666666667,3.713636363636364,3.8446712018140587
Frank Tip,4.327850877192982,12.666666666666666,4.012000487329434,4.329166666666667,4.1499999999999995,4.232086343309254
Frederick Howell,3.7845059046345804,16.0,3.1657778768072884,3.593137254901961,3.8508986928104574,3.7998652491299545
Gene Cooperman,4.230697610834429,13.0,4.027534177584971,4.291059206450799,4.320017569504798,4.207430844308294
Ghita Amor-Tijani,4.212061880426344,9.4,3.8900980287047573,4.284827788562516,4.199479271902899,4.225639055528786
Guevara Noubir,4.441868085618086,14.0,4.088546176046176,4.478953399541634,4.479978354978356,4.436661618804475
Gui Gao,3.8125,11.0,3.916666666666667,3.7083333333333335,4.041666666666666,4.035714285714286
Heather Miller,4.4148065476190474,12.0,4.162202380952381,4.544642857142857,4.455357142857142,4.463010204081632
Hosung Song,4.034043441938178,13.333333333333334,3.949624060150376,4.11578947368421,4.22181843497633,4.0436053503722675
Huy Nguyen,3.7653386544011545,15.0,3.583472777222777,3.6329816017316015,4.336006354756355,3.7801922284065146
Ian Gorton,4.444529250855914,17.833333333333332,4.229070782869775,4.508744411440812,4.45597518147344,4.438025491898213
Jacek Ossowski,3.8973612206847172,10.125,3.4068247879888647,3.969162383952255,4.06594883423991,3.9634070425413683
James Knapik,4.505952380952381,8.0,4.3730158730158735,4.476190476190476,4.25,4.36734693877551
James Miller,4.190762362637363,20.0,3.5904304029304033,4.323260073260073,4.160256410256411,4.05540293040293
Jan Vitek,3.9216999622945705,18.0,3.8438780993986947,4.03789466873706,4.263690476190476,4.032931731148877
Jan-Willem Van De Meent,4.228257575757576,16.8,4.192777777777778,4.153333333333333,4.386666666666667,4.164300144300144
Jason Hemann,3.4182565789473687,16.0,4.019980506822613,3.510690789473684,3.986111111111111,3.3657111528822057
Jason Marchant,3.779166666666667,10.0,2.763888888888889,3.666666666666667,3.4583333333333335,3.573809523809524
Jaume Coll-Font,4.281305407801418,12.0,3.762731481481481,4.145833333333334,4.416666666666666,4.30958713272543
Javed Aslam,4.580610286036834,12.0,4.098012078480866,4.714877326823195,4.518204535708626,4.463597885660444
Jennifer Dy,4.072303921568627,14.0,3.531590413943355,4.055555555555555,4.397058823529411,4.050887021475257
Jennifer Shire,4.275826821956853,4.0,3.798753689228728,4.240617167919799,3.4606209504719567,4.007553203467621
Jessica Biron,4.653374403374404,4.0,3.9422429422429417,4.883449883449884,3.947086247086247,4.281210852639425
Jessica Speece,4.223657864952509,4.0,3.939316371459228,4.3054292929292926,3.3063020313020313,3.7980614906635317
Jill Forgash,4.528935185185186,4.0,4.601741622574956,4.703703703703703,3.557208994708995,4.169312169312169
Jingtian Huang,3.841666666666667,12.0,3.7944444444444443,3.6833333333333336,4.138888888888889,3.9095238095238094
John Ewart,4.204678803339518,11.428571428571429,3.8134224902082043,4.2651360544217685,4.064491857349,4.124734958918633
John Rachlin,4.773477590574065,10.285714285714286,4.852913994145429,4.895455234769494,4.543108922410718,4.688718446982814
Jonathan Grenier,4.278958333333334,4.0,3.623148148148148,4.303787878787879,3.3963888888888887,3.905375180375181
Jonathan Lee,4.399158164139781,4.0,3.9371147928868515,4.652652543534896,3.4349874880021942,3.9458712016275044
Jonathan Rafkind,4.600694444444445,20.0,4.722222222222222,4.666666666666667,4.666666666666666,4.416666666666667
Jonathan Ullman,4.574610205755716,13.714285714285714,4.287758486210499,4.699309170361802,4.564246245670395,4.486580887503361
Jorge Toro,4.25,12.0,4.330357142857143,4.229166666666667,4.073863636363637,4.184523809523809
Jose Annunziato,4.322090938580992,15.08108108108108,4.061211090093799,4.418326537249211,4.215875748395373,4.254508327497858
Jose Sierra,4.4156525380181595,14.4,4.207629432489456,4.49588130615834,4.362894659396995,4.3818129185910335
Joseph Buck,3.4762634451013605,13.714285714285714,3.395043959612831,3.3611827339631506,3.773459601231797,3.563553190898042
Joseph Rushanan,4.428951373918478,11.6,4.08296897489622,4.47942103218419,4.307513597513598,4.307358363539256
Kaan Onarlioglu,4.256944444444445,16.0,4.342592592592593,4.347222222222222,4.355555555555555,4.280045351473922
Kaitlyn Hughes,4.633506944444444,4.0,3.960955942205942,4.838886113886114,3.583516483516483,4.286167800453515
Kanaka Saripalli,4.041666666666666,16.0,4.388888888888888,4.0,4.333333333333333,4.428571428571429
Kapil Arya,4.331647066644056,18.0,4.002296637045623,4.3899115896358545,4.514009978991597,4.337538624383924
Karl Lieberherr,3.790426022216537,9.411764705882353,3.618027818795652,3.7704603033964257,4.007179469310584,3.9079339395369117
Kathleen Durant,3.865106009508979,9.826086956521738,3.7608418968368373,3.931251200026051,4.042386200767036,3.909950030822706
Kenneth Baclawski,4.2123363143358965,12.0,3.664205989803267,4.1159332358674465,4.158371638450948,4.212325812475362
Kevin Amorin,4.258794816003324,14.571428571428571,3.8549645615822095,4.402646513150715,4.3171640373321045,4.2682176983347455
Kevin Gold,4.463571477415225,14.210526315789474,4.104910644028308,4.568434528858974,4.448820949504292,4.354539332675331
Kevin Small,3.912740920231729,16.5,3.6350285947712417,3.7917892156862747,4.287459150326797,3.9536016679399033
Kinshuk Juneja,4.616035353535354,18.0,4.619023569023569,4.434343434343434,4.633333333333333,4.603318903318903
Kongfuechi Moua,4.363932748538011,16.0,4.432894736842106,4.472727272727273,4.012061403508772,4.29624060150376
Koorosh Firouzbakht,2.7584202623676304,12.0,2.4853010905642487,2.3912280701754387,3.4346491228070177,2.969211316579738
Kyle Courtney,4.310168493514767,12.285714285714286,3.7738611026654505,4.236727584010193,4.154631419305333,4.2895146852555905
Kylie Bemis,4.516347871640741,12.0,4.668720467071485,4.471984649122807,4.320499613759688,4.4003342843813975
Larry Finkelstein,2.5877810846560845,12.0,2.4672530864197535,2.275,3.6141304347826084,3.016171579743008
Laurie Sanborn,3.566636029411765,12.0,3.2319852941176475,3.588235294117647,3.8235294117647056,3.798844537815126
Leena Razzaq,4.039985054980453,14.444444444444445,3.6884475752898425,4.017945236351199,4.169236972234629,4.0497762178277465
Lok Sang Wong,4.2700000000000005,16.0,4.499999999999999,4.18,4.464545454545455,4.247701863354037
Long Lu,3.881456043956044,10.0,4.028617216117215,3.7142857142857144,4.1472693972693975,3.816640502354788
Lu Wang,4.056688838266028,14.222222222222221,4.0232507149755214,3.994843674843674,4.293725798441247,4.050930489052506
Luying Min,3.9761363636363636,20.0,3.9333333333333336,3.933333333333333,4.017647058823529,4.0797268907563025
Magy Seif El-Nasr,3.733892701501398,12.4,3.497289824337879,3.712740086000956,3.910807742981656,3.7339080381316405
Mardiros Merdinoglu,3.480769230769231,12.0,3.1397435897435897,3.4230769230769234,3.8430769230769233,3.7210989010989013
Margaret Whitehead,4.232032380745616,4.0,4.409356060908348,4.444410963038413,3.376785832177989,3.8429436498764225
Maria Jump,3.604166666666667,17.0,3.638888888888889,3.7916666666666665,4.208333333333333,3.595238095238095
Maria Zontak,3.874514320220841,16.285714285714285,3.7119565217391304,3.750569358178054,3.9803916494133884,3.989922606723849
Marlin Eller,3.8480616605616604,16.0,3.972546126712794,3.68705143095387,4.001902726902727,3.7446739316948374
Martin Schedlbauer,4.283781131864735,11.478260869565217,3.828252997034818,4.328944756139428,4.154127860078319,4.274784500562263
Matthias Felleisen,4.483116548252656,16.0,4.052887170842028,4.528093434343435,4.5816777375201285,4.503024831402624
Megan Giordano,4.303266949100283,4.0,4.445152275707831,4.44520017020017,3.338054692221359,3.9367845558321743
Melissa Peikin,4.191385273507554,4.0,3.98014321677927,4.460930038583859,3.2663136073435823,3.7215337866727154
Micah Adler,4.575,16.0,3.9000000000000004,4.4,4.6,4.485714285714286
Michael Gourlay,3.28125,16.0,3.125,3.0,3.625,3.0714285714285716
Michael Shah,4.588319493797384,13.666666666666666,4.703779481114541,4.7325439763330595,4.465733862885547,4.486775622361126
Michael Weintraub,4.0684283912913095,15.04,3.8252124594603885,4.105085445150718,3.8815372065751266,3.9382773506358846
Michelle Borkin,4.342487373737374,10.666666666666666,3.9775252525252527,4.39040404040404,4.096031746031746,4.172077922077922
Ming Huo,3.7647068643162394,16.5,3.4351807336182336,3.70022702991453,4.031803266178266,3.9569291819291816
Ming-Chuan Wu,4.301909722222222,14.5,3.8246527777777777,4.244791666666667,4.291666666666666,4.328670634920636
Mirek Riedewald,4.797034587359665,19.5,4.485958887938251,4.858471518591488,4.710388453914721,4.742057731014641
Mitchell Wand,3.926105384073169,20.0,3.624979981354189,3.934412576363762,3.8061760884228417,3.7735645829921682
Mrinal Sourav,4.895833333333334,14.0,4.944444444444444,4.916666666666666,4.616666666666667,4.833333333333333
Nada Naji,4.0240579147887425,13.826086956521738,3.8142787643384266,3.9650255794039935,4.090734574297758,4.035273886198655
Naga Venkata Lakshmi Sandeep Inampudi,3.88474025974026,14.0,4.239538239538239,3.833333333333333,4.363636363636363,3.9916512059369196
Nathanael Lash,4.323544871794872,4.0,4.4233629691564476,4.554166666666666,3.3734242424242424,4.004908424908424
Nathaniel Derbinsky,4.523926869050652,13.333333333333334,4.616275661170956,4.6495918113804295,4.309671499135954,4.391553647868083
Nathaniel Tuck,4.114921116204819,16.181818181818183,3.7706794992412442,4.101034436089533,4.257649697285194,4.101681959000834
Neal Young,4.587430156449553,16.0,4.707545764154959,4.561111111111112,4.713888888888889,4.56276455026455
Nicholas Brown,3.8672650029166804,10.0,3.563065324527135,3.998420971590099,3.9669929558745354,3.9832323868049615
Oleh Kolesnikov,3.9955165692007797,14.666666666666666,3.6257959714100068,4.072222222222222,4.1683235867446395,4.047702589807853
Olga Vitek,4.029097655476332,17.11111111111111,3.859787217060609,3.8960658168991507,4.227632475549142,4.003125795772855
Olin Shivers III,4.645884323036267,15.272727272727273,4.195819848799702,4.814242331896327,4.586870590170031,4.541004407456386
Omar Alonso,4.6499999999999995,16.0,4.666666666666667,4.6,4.45,4.657142857142857
Or Beit Aharon,3.8974940476190474,15.2,4.0205793650793655,3.7615000000000003,4.304007246376812,3.995795918367347
Pandurangan Chandrasekaran,3.9578125,20.0,3.33125,3.675,3.8625,3.8482142857142856
Penny Rheingans,4.3825,12.0,3.7283333333333335,4.279305555555555,4.375,4.215714285714285
Pete Manolios,4.132139271423455,14.0,3.860541011156312,4.137294278996865,4.337261271735259,4.107594677153212
Peter Desnoyers,4.043064657205094,13.11111111111111,3.7979117325726808,3.9018706722955088,4.166893707539133,4.0503830043492925
Philip Gust,4.335754293221399,15.1,4.3426316933553775,4.237048244153508,4.214741354062175,4.281226000398933
Prachi Sharma,3.604166666666667,12.0,3.529761904761905,3.479166666666667,3.6761363636363633,3.8367346938775513
Prajna Kulkarni,4.257258940311825,4.0,4.050527695239234,4.423921911421911,3.2750376226337767,3.7740527939703767
Prakash Somasundaram,3.9,12.0,3.875,3.475,3.875,4.071428571428571
Prakriti Dave,4.107142857142857,20.0,4.095238095238096,4.107142857142858,4.189075630252101,4.1348289315726285
Priyank Chaudhary,4.653535353535354,18.0,4.6856902356902355,4.577272727272727,4.683333333333334,4.617604617604618
Priyanka Bishnoi,3.6938560234699933,4.0,3.8056791683262268,3.6095692216280453,3.111074187250658,3.4232603344368053
Qi Yu,3.5694444444444446,16.0,3.7407407407407405,3.4166666666666665,3.80718954248366,3.5972222222222223
Rachel Laskin,4.306034482758621,16.0,3.8390804597701145,4.310344827586206,4.448275862068966,4.297325826882477
Rajmohan Rajaraman,4.779673721214619,19.0,4.38869611002767,4.843804083060816,4.69577674130004,4.723510707707318
Raman Chandrasekar,4.589285714285714,12.666666666666666,4.735449735449735,4.666666666666667,4.440700040700041,4.562358276643991
Rathi Sowumya Thirunavukkarasu,4.28125,20.0,4.375,4.196428571428571,4.180147058823529,4.2011554621848735
Ravi Sundaram,3.7917009475192613,11.2,3.604587680201303,3.7846378765856166,4.324475993295868,3.9394495331777755
Reid Johnson,4.458333333333334,16.0,4.611111111111112,4.666666666666667,4.333333333333334,4.333333333333333
Ricardo Baeza-Yates,3.9230769230769234,16.0,3.9743589743589745,3.769230769230769,4.3076923076923075,3.913919413919414
Robert Munro,4.3069444444444445,12.0,4.283333333333333,4.25,4.275,4.2785714285714285
Robert Platt,3.8093170372537073,12.181818181818182,3.7020821249133395,3.8387926914382096,4.174791275614444,3.9776411797967004
Rukmini Vijaykumar,3.114408349802371,12.0,3.7504411349520046,2.837121212121212,4.112373737373737,3.5991475312127488
Rutu Mulkar-Mehta,3.858333333333334,12.0,3.233333333333334,3.7,3.8666666666666667,3.9904761904761905
Saber ShokatFadaee,4.5,14.0,3.9166666666666665,4.25,4.25,4.428571428571429
Sai Krishna Karanam,4.292242647058823,16.0,4.3296568627450975,4.260695187165775,4.010416666666667,4.266491596638656
Sara Arunagiri,3.743272876361111,12.0,3.8128106416096608,3.70587968676204,3.6804191995368463,3.7724144863850744
Sashank Narain,4.53125,14.0,4.833333333333333,4.75,4.5,4.142857142857143
Scott Mancini,3.9884615384615385,14.0,3.3999125874125875,3.9423076923076925,3.6009615384615383,3.7339743589743595
Seth Cooper,3.937823041896185,12.8,3.888168626036273,4.002364199268224,4.131960621937402,3.915965285635786
Seyhmus Guler,4.285714285714286,12.0,4.5,4.160714285714286,4.071428571428571,4.011526832955404
Shujian Wen,4.0996875,16.0,4.104166666666667,4.261363636363637,3.9541666666666666,4.189285714285715
Sizhe Wen,5.0,12.0,5.0,5.0,5.0,5.0
Stacy Marsella,4.147602600250627,14.8,4.081327276524645,4.10610119047619,4.278931704260652,4.181511815252417
Stephen Intille,4.074621998747252,19.5,3.5264347002007588,3.994971264367816,4.2415099268547545,4.085177766683128
Steven Abramson,4.428649376417233,12.0,4.170436507936508,4.604761904761905,4.3751984126984125,4.383049886621316
Susan Loffredo,4.395833333333334,4.0,4.508164983164983,4.492424242424242,3.582575757575758,3.999458874458875
Tamara Bonaci,3.5756944444444443,13.777777777777779,3.481084656084656,3.428703703703704,3.734789067142008,3.763476148034971
Tasneem Nipplewala,3.8183114035087717,15.0,4.004166666666667,4.0125,4.265789473684211,3.943149540517961
Themis Papageorge,4.066642350842474,14.0,3.8822879663401983,3.957112528060968,3.8404105447109207,3.9398771243997
Therapon Skoteiniotis,4.514392538504381,18.22222222222222,3.8617890919855062,4.6877950752950746,4.37740978157645,4.441906506192221
Thomas Wahl,4.440890232458304,13.333333333333334,3.9292104691510463,4.4560617493554675,4.388595523676169,4.367053955593854
Tiffani Williams,4.076785714285714,12.285714285714286,4.045238095238095,4.430952380952381,3.8595238095238096,4.093197278911565
Timothy Bickmore,4.442593906053336,10.666666666666666,3.9628147268212754,4.427253626003625,4.204897523719363,4.335490934504093
Timothy Trow,3.6524316305469555,14.0,3.052648778809769,3.5717105263157896,3.601608187134503,3.7067878028404344
Tina Eliassi-Rad,4.6021875,14.0,4.242407407407407,4.555,4.547173913043478,4.535198412698412
Vanessa Murdock,4.25,16.0,3.611111111111112,3.833333333333333,4.166666666666666,4.3809523809523805
Vidoje Mihajlovikj,4.379046620862859,12.210526315789474,4.504434964031647,4.436018270757973,4.394625546701597,4.3737200933064155
Vinay Preet Singh,4.4,12.0,4.5,3.85,4.25,4.285714285714286
Vinayak Rao,3.4910141941391934,17.0,3.4830872252747254,3.402415293040293,4.140801680203854,3.620122986485564
Virgil Pavlu,4.557214406761252,17.333333333333332,4.287097737912467,4.659619523531445,4.535859543920073,4.4875740540630025
Walter Schnyder,3.6798526479361864,12.0,3.7557749216538103,3.5878901351218797,4.084296692593493,3.7621078877339897
Wendy Gordon-Hewick,3.9016233766233768,4.0,3.3158008658008655,3.5863095238095237,3.1524725274725274,3.5202226345083485
William Clinger,3.8770080135623246,15.571428571428571,3.682580402851258,3.7792917796840593,4.071937158847995,3.839130909350469
William Robertson,3.7844328703703702,15.333333333333334,3.394675925925926,3.5366547259929617,4.0476055806938165,3.7702377959730904
Wolfgang Gatterbauer,4.116919551130078,14.0,4.40672251198567,3.998498498498499,4.278251936146673,4.154334785913734
Woodrow Hartzog,4.65625,12.0,4.625,4.875,4.625,4.678571428571429
Yan Luo,4.441666666666666,12.0,4.541666666666667,4.275,4.25,4.285714285714286
Yasmil Montes,4.096735284320796,4.0,3.784313840435921,4.187998739611643,3.2829975579975583,3.7965749276237126
Yetunde Folajimi,2.888047138047138,13.333333333333334,2.8582351290684627,2.61952861952862,3.3265993265993266,3.018759018759019
Yi Jia,3.375,11.0,3.416666666666667,3.0833333333333335,3.5,3.8690476190476186
Yijun Zhao,4.158333333333333,14.0,3.5611111111111113,4.0600000000000005,4.140000000000001,4.103809523809525
Yingbin Liang,4.891666666666667,14.0,4.933333333333334,4.833333333333334,4.7,4.857142857142857
Yiyang Zhang,4.263888888888888,20.0,4.351851851851851,4.309523809523809,4.339869281045752,4.220996732026143
Yizhou Sun,4.297039473684211,16.0,3.7041666666666666,4.35,4.4125,4.297932330827067
Yoganand Chandrasekhar,4.0625,11.0,4.0,4.0,4.125,4.083333333333333
Yunfeng Yue,4.107142857142857,20.0,4.1190476190476195,4.178571428571429,4.189075630252101,4.1348289315726285
Zaihan Yang,3.804113289337474,13.0,3.37543803562615,3.6581140350877193,4.2049591307815,4.018304278233032
Zhifeng Sun,4.737803229640013,16.4,4.232902004519007,4.828003382639606,4.648752540029629,4.704263402801108
