code,UID,course-comment,learning-comment,instructor-related
CS7780,CS7780,The papers were the bread and butter of this class and were great for both my general research literacy as well as understanding wireless technologies.,Analyzing papers was a very useful exercise. The actual write ups were not too long and not tedious like some other classes I have taken.,"Professor Aanjhan is one of the best teachers I've had at Northeastern. He has been able to hit the sweet spot of being interesting, educational, and not tedious."
CS2550,CS2550,The projects were immensely beneficial,,
CS3740,CS3740,I appreciate the professor's attempt to keep the curriculum current and relevant to modern attacks and technologies,"More projects, more exams. Got to the last two weeks of this course with no understanding of how I was standing academically.",Excellent lecturer. Interesting assignments and readings.
CS4620,CS4620,N/A,"This is a research course. It gets messy. It is hard, and it is demanding. However, it gives an invaluable experience in performing actual research and learning new and strange topics.","Its Mattias. He's a hard professor, and asks a lot of his students. However, he's always there to explain something if you need help, and is probably the best professor I've ever had."
CS2001,CS2001,"We mostly just used information/references online, but they helped SO MUCH and are super important to lab.","Lab was so helpful to understanding and succeeding in DS2000. It does not need to be improved (if anything, more class time should be lab).",Professor Hescott does a great job of letting us explore and figure out the lab while also answering our questions and making sure we all understand what we are doing.
CS4170,CS4170,,I've always gained a lot of knowledge after each lecture.,Frequently online and available on slack to answer questions.
CS6949,CS6949,No comments,NO comments,No comments
CS4501,CS4501,,Please see the trace evals for the CS 4500 02 Software Development class. I strongly believe the project needs rework and I outlined it in my evaluation for that class.,N/a
CS6351,CS6351,"The discussion materials were not always directly applicable to teaching me about research methods relevant to my research, but they usually provided some good insights that might be useful to me in the future.",,The professor was very effective at leading discussions and giving feedback on study designs.
CS7580,CS7580,,"Needs more material than just aws training curriculum. Including Google Cloud and Azure might help. I was also expecting to learn about technical details of Cloud Computing, and not just how to use it.",
CS6620,CS6620,"I think including more basic materials in the lectures are important. For example, Computer Networkings, Systems related topics.","I did learned about how to read papers and write reviews about them. It would have been nice to have more required homework in the beginning of the semester to help us get familiar with OpenStak, OpenShift, etc.","There are few times the lecture were ended early. I think the professors should fill the lecture time with more basic materials. Even just basic/common system admin topics, since we are doing many sys. admin work in the project."
CS5964,CS5964,,Would have really like more time for this project.,Always very nice to talk too!
CS5083,CS5083,Professor was good at solving students doubts and queries,Addition of a simple schedule page covering all deadlines and due dates would make it easier for students,NC
CS5082,CS5082,"Course did not follow any particular text book, all materials were provided by Teacher",Addition of a simple schedule page covering all deadlines and due dates would make it easier for students,NC
CS3000,CS3000,The lectures were directly mapped to readings most of the time but were more concise. I appreciated the effort Prof. Ullman took to post the slides with annotations. Very helpful when my handwriting was messy in my notebook or if I didn't get to write something down. Lecture notes were very very helpful for completing the homework.,I think that the lecture structure with slide annotation being a centerpiece of delivery isn't the best way to explore content,
CS7610,CS7610,The papers are very much helpful.,More guidance for the first assignment would be appreciated.,"Very good job, please keep up the good work!"
CS4420,CS4420,"I think for the beginner in Machine Learning, Bishop' book is better. Although it doesn't cover broader topics like the Murphy's book. It feels the Murphy' book is more suited to people who has Machine Learning background already.",,"I like how the Professor help the students during the office hour. I feel his office hour is valuable. One thing during this office hour is that the Professor can spend too much time in one person, that the next person's need might not be covered."
CS7340,CS7340,"The textbook and most of the papers that we read for the class were very old, so maybe not as relevant in current times.",,
CS4820,CS4820,"Textbooks were good. The last two assignments should have been broken up over 3 or 4, or we should have been given more starter code/guidance.","In addition to the homework assignments given, perhaps several smaller assignments to practice the algorithms from the class. For example, some problems for the students to work through resolution or the FO solver would have been very useful.","I'm a graduating senior, and this was the single most time-consuming class I've ever taken - the weekly homework assignments typically took 10-20 hours to finish. This was the first time the class was offered, and Pete said he'd be looking into ways to adjust it for future semesters, so it may improve in the future, but I would still recommend to only take this class if you have spare time on your hands."
CS6800,CS6800,,"This course is a graduate seminar so it has a slightly different structure. There are no exams and the grade is based entirely upon homework (80%) and your scribe notes (20% - typing up notes for one class). The homework was challenging but very doable. If you need an easier graduate class to take, this is definitely an optimal choice.",Professor Aslam is an excellent professor who is very passionate about the content of the course. He was great at explaining everything and is an overall nice person.
CS6964,CS6964,,"Learnt a lot in industry, both inter-personal and technical. definitely good experience",Effective communication. Her ability to empathize and understand the students problems and concerns is excellent. Also she's very involved in my co-op experience.
